original_name,company_name
MEDFORD SVGS BK MA,medford svgs bk ma
REGIONAL BANCORP INC,regional bancorp
MEDFORD SAVINGS BANK,medford savings bank
MEDFORD BANCORP INC,medford bancorp
ACKERLEY COMMUNICATIONS INC,ackerley communications
ACKERLEY GROUP INC,ackerley
LEARNING TECHNOLOGY INC,learning technology
DISCOVERY ASSOCIATES INC,discovery associates
LEOS INDUSTRIES INC,leos industries
ONE VALLEY BANCORP WEST VA INC,one valley bancorp west va
ONE VALLEY BANCORP INC,one valley bancorp
PARIS BUSINESS FORMS INC,paris business forms
LA MAN CORP,la man
DISPLAY TECHNOLOGIES INC,display technologies
NEWNAN SAVINGS BANK FSB,newnan savings bank fsb
NEWNAN HOLDINGS INC,newnan
FIRST CITIZENS CORP,first citizens
NATIONAL INDUSTRIAL BANCORP INC,national industrial bancorp
TELEQUEST INC,telequest
EMPIRE GAS CORP NEW,empire gas new
FIRST FEDERAL SVGS ARKANSAS FA,first federal svgs arkansas fa
COMMUNICATION CABLE INC,communication cable
ALLEGHENY POWER SYSTEMS INC,allegheny power systems
ALLEGHENY ENERGY INC,allegheny energy
ADMIRAL FINANCIAL CORP,admiral financial
SEALRIGHT COMPANY INC,sealright company
GANDER MOUNTAIN INC,gander mountain
IMTEC INC,imtec
ONCOGENE SCIENCE INC,oncogene science
NATIONAL INSTITUTE CAREERS INC,national institute careers
ALLIED CHEMICAL CORP,allied chemical
ALLIED CORP,allied
ALLIED SIGNAL INC,allied signal
HONEYWELL INTERNATIONAL INC,honeywell international
APPLICATION ENGR CORP,application engr
TRADITIONAL INDUSTRIES INC,traditional industries
EAGLE BANCSHARES INC,eagle bancshares
TRANS LEASING INTL INC,trans leasing intl
TLII LIQUIDATING CORP,tlii liquidating
ADVANCE DISPLAY TECHNOLOGIES INC,advance display technologies
ALLIS CHALMERS MFG CO,allis chalmers mfg
ALLIS CHALMERS CORP,allis chalmers
AMERICAN ELECTR LABS INC,american electr labs
ELECTRIC & GAS TECHNOLOGY INC,electric gas technology
HANSON JOHN SAVINGS BANK FSB,hanson john savings bank fsb
HANSON JOHN BANCORP INC,hanson john bancorp
NORTH SIDE SAVINGS BANK BRONX,north side savings bank bronx
AMERESCO INC,ameresco
INTERFERENCE CONTROL TECHS IND,interference control techs ind
SANDSPORT DATA SERVICES INC,sandsport data services
SANDATA INC,sandata
SANDATA TECHNOLOGIES,sandata technologies
AMERICAN METAL CLIMAX INC,american metal climax
AMAX INC,amax
CAMBRIDGE ANALYTICAL ASSOC INC,cambridge analytical assoc
LAFAYETTE BANCORP INC,lafayette bancorp
LONG LAKE ENERGY CORP,long lake energy
ENCHANTED VILLAGE INC,enchanted village
ARNOX CORP,arnox
SPORTS MARKETING INC,sports marketing
FAMILY STEAK HOUSES FL INC,family steak houses fl
CHARTWELL GROUP LTD,chartwell
GRANITE COOP BK NORTH QUINCY MA,granite coop bk north quincy ma
SEABOARD BANCORP INC,seaboard bancorp
JEFFERSON NATIONAL BANK NY,jefferson national bank ny
BARRYS JEWELERS INC,barrys jewelers
THERMAL EXPLORATION CO,thermal exploration
INVESTMENT RES & TECHNOLOGY INC,investment res technology
SPEAR FINANCIAL SERVICES INC,spear financial services
FECHTOR DETWILER MITCHELL & CO,fechtor detwiler mitchell
DETWILER MITCHELL & CO,detwiler mitchell
WESTERN PUBLISHING GROUP INC,western publishing
GOLDEN BOOKS FAMILY ENT INC,golden books family ent
ROCHESTER COMMUNITY SVGS BK NY,rochester community svgs bk ny
AKORN INC,akorn
MUNICIPAL DEVELOPMENT CORP,municipal development
TECH DATA CORP,tech data
ALFA INTERNATIONAL CORP,alfa international
MERRILL CORP,merrill
SOUTHWEST CAPITAL CORP,southwest capital
HEALTHPLEX INC,healthplex
AMERICAN BOSCH ARMA CORP,american bosch arma
AMBAC INDUSTRIES INC,ambac industries
COLOROCS CORP,colorocs
TEXCEL INTERNATIONAL INC,texcel international
RUBICON CORP,rubicon
OSPREY HOLDING INC,osprey
SOMERSET GROUP INC,somerset
COMMONWEALTH TELE ENTRPS INC,commonwealth tele entrps
AMERICAN & FGN PWR INC,american fgn pwr
DEL PAINT CORP,del paint
ARBOR DRUGS INC,arbor drugs
REPLIGEN CORP,repligen
ATLANTIC POWER CORP,atlantic power
CAPITAL WIRE & CABLE CORP,capital wire cable
PIONEER SAVINGS BANK INC NC,pioneer savings bank nc
PIONEER BANCORP INC,pioneer bancorp
UNITEL CORP,unitel
LAWRENCE SAVINGS BANK,lawrence savings bank
INTREX FINANCIAL SERVICES INC,intrex financial services
LAWRENCE SAVINGS BANK NEW,lawrence savings bank new
EDUCATION SYSTEMS & PUB CORP,education systems pub
AMERICAS ALL SEASON FUND INC,americas all season
ALL SEASONS GLOBAL FUND INC,all seasons global
ROYCE GLOBAL TRUST INC,royce global trust
ROYCE FOCUS TRUST INC,royce focus trust
SPROTT FOCUS TRUST INC,sprott focus trust
INSTRUCTIVISION INC,instructivision
AMERICAN AGRIC CHEM CO,american agric chem
FIRST FEDERAL SVGS BK GA WINDER,first federal svgs bk ga winder
WESTCORP,westcorp
INFRASONICS INC,infrasonics
AMERICAN TRAVELLERS CORP,american travellers
PLASTI LINE INC,plasti line
UNITED STATES VIDEO VENDING CORP,united states video vending
TRILLING RESOURCES LTD,trilling resources
TRILLING MEDICAL TECHS INC,trilling medical techs
WATER JEL TECHNOLOGIES INC,water jel technologies
XCEED INC,xceed
WORLDWIDE XCEED GROUP INC,worldwide xceed
AMERICAN BANK NOTE CO,american bank note
AUTOMATIC FILM PROCESS,automatic film process
TELESIS SYSTEMS CORP,telesis systems
BABCOCK & WILCOX CO NEW,babcock wilcox new
IMAGE MANAGEMENT SYSTEMS INC,image management systems
FRETTER INC,fretter
CAMELOT INFORMATION SYSTEMS INC,camelot information systems
REGENCY CRUISES INC,regency cruises
AMERICAN TOB CO,american tob
AMERICAN BRANDS INC,american brands
FORTUNE BRANDS INC,fortune brands
BEAM INC,beam
KIMMINS INDUSTRIAL SERVICE CORP,kimmins industrial service
KIMMINS CORP,kimmins
INTERFUND CORP,interfund
NORTH AMERICAN COMMUNS CORP NEW,north american communs new
ANDOVER SAVINGS BANK MASS,andover savings bank mass
ANDOVER BANCORP INC DEL,andover bancorp del
COMMUNITY BANKSHARES INC NH,community bankshares nh
ELMIRA SAVINGS BANK FSB NY,elmira savings bank fsb ny
ELMIRA SAVINGS BANK NY,elmira savings bank ny
AMERICAN BROADCASTING PARAMOUNT,american broadcasting paramount
AMERICAN BROADCASTING COS INC,american broadcasting cos
AMERICAN PASSAGE MRKTING CORP,american passage mrkting
SEATTLE FILMWORKS INC,seattle filmworks
PHOTOWORKS INC,photoworks
WEBSTER CLOTHES INC,webster clothes
INTERNATIONAL SURGICAL & PHRM CP,international surgical phrm cp
BAY VIEW CAPITAL CORP,bay view capital
GREAT LAKES BANCORP INC NEW,great lakes bancorp new
BALDWIN & LYONS INC,baldwin lyons
PROTECTIVE INSURANCE CORP,protective insurance
WOMENS HEALTH CNTRS OF AMER INC,womens health cntrs of amer
AMERICAN CAN CO,american can
PRIMERICA CORP,primerica
TRANS FINANCIAL BANCORP INC,trans financial bancorp
TRANS FINANCIAL INC,trans financial
ATLANTIC FEDERAL SAVINGS BANK MD,atlantic federal savings bank md
ATLANFED BANCORP INC,atlanfed bancorp
DASIBI ENVIRONMENTAL CORP,dasibi environmental
POLLUTION RESEARCH & CTRL CORP,pollution research ctrl
SHELLY ASSOCIATES INC,shelly associates
MID SOUTH INSURANCE CO,mid south insurance
GANTOS INC,gantos
GANTOS INC NEW,gantos new
CIMCO,cimco
SPORTSMANS GUIDE INC,sportsmans guide
MERIDIAN NATIONAL CORP,meridian national
FLAGSHIP FINANCIAL CORP,flagship financial
INDEPENDENT BANK CORP MA,independent bank ma
THOROUGHBREDS USA INC,thoroughbreds usa
DOCUMENT SECURITY SYSTEMS INC,document security systems
STERLING INC,sterling
VERTICOM INC,verticom
OLD DOMINION SYSTEM INC,old dominion system
MICROLOG CORP,microlog
DIGITAL SOLUTIONS INC,digital solutions
TEAMSTAFF INC,teamstaff
AVANT IMMUNOTHERAPEUTICS INC,avant immunotherapeutics
CELLDEX THERAPEUTICS INC,celldex therapeutics
SIGMA DESIGNS INC,sigma designs
ALLSTAR VIDEO INC,allstar video
