original_name,company_name
HOMESTYLE BUFFET INC,homestyle buffet
STACEYS BUFFET INC,staceys buffet
ALLIED BANCSHARES INC,allied bancshares
HUGHES HOMES INC,hughes homes
HUMAGEN INC,humagen
FIRST MEDICAL INTERNATIONAL INC,first medical international
IMAGE ENTERTAINMENT INC,image entertainment
IMPERIAL HOLLY CORP,imperial holly
IMPERIAL SUGAR CO NEW,imperial sugar new
INBANCSHARES,inbancshares
INDEX TECHNOLOGY CORP,index technology
ALLIED CAPITAL CORP,allied capital
INTERCARGO CORP,intercargo
INTERNATIONAL 800 TELECOM CORP,international telecom
INTERNATIONAL LEISURE ENTPR INC,international leisure entpr
ILX INC,ilx
ILX RESORTS INC,ilx resorts
INTERNATIONAL NUTRITION & GEN CP,international nutrition gen cp
IOWA NATIONAL BANKSHARES CORP,iowa national bankshares
HOMELAND BANKSHARES CORP,homeland bankshares
JEAN PHILIPPE FRAGRANCES INC,jean philippe fragrances
INTERMEDIATE PARFUMS INC,intermediate parfums
INTERPARFUMS INC,interparfums
FAIRBANKS MORSE & CO INC,fairbanks morse
ALLIED FARM EQUIP,allied farm equip
KINETIC CONCEPTS INC,kinetic concepts
LIBERTY MILITARY SALES INC,liberty military sales
LLOYDS ACCEPTANCE CORP,lloyds acceptance
MAIONE HIRSCHBERG COS INC,maione hirschberg cos
MAIONE COMPANIES INC,maione companies
ALLIED FOODS INC,allied foods
MARROW TECH INC,marrow tech
ADVANCED TISSUE SCIENCES INC,advanced tissue sciences
MAXIM INTEGRATED PRODUCTS INC,maxim integrated products
MEADOW GROUP INC,meadow
MEDICAL TECHNOLOGY SYSTEMS INC,medical technology systems
MEDSTONE INTERNATIONAL INC,medstone international
CYTOCARE INC,cytocare
MEDSTONE INTERNATIONAL INC NEW,medstone international new
MEICOR INC,meicor
METALCLAD CORP,metalclad
ENTRX CORP,entrx
MICRONETICS INC NEW,micronetics new
MICRONETICS WIRELESS INC,micronetics wireless
MICRONETICS INC,micronetics
MINDSCAPE INC,mindscape
MUTUAL FEDERAL SAV BK STK CP OH,mutual federal sav bk stk cp oh
ALLIED GENERAL INC,allied general
GLENAYRE TECHNOLOGIES INC,glenayre technologies
ENTERTAINMENT DISTRIBUTN CO INC,entertainment distributn
NATIONAL ASSET BANK HOUSTON TX,national asset bank houston tx
NATIONAL TECHTEAM INC,national techteam
TECHTEAM GLOBAL INC,techteam global
NEW YORK BANCORP INC,new york bancorp
BIORELEASE CORP,biorelease
OCTEL COMMUNICATIONS CORP,octel communications
ALLIED NURSING CARE INC,allied nursing care
PACIFIC ENERGY RES INC,pacific energy res
PHOENIX TECHNOLOGIES LTD,phoenix technologies
PHONETEL TECHNOLOGIES INC,phonetel technologies
PHONEX INC DE,phonex de
POLIFLY FINANCIAL CORP,polifly financial
PORTSMOUTH BANK SHARES INC,portsmouth bank
ALLIED RESEARCH ASSOC INC,allied research assoc
ALLIED RESEARCH CORP,allied research
ALLIED DEFENSE GROUP INC,allied defense
RELATIONAL TECHNOLOGY INC,relational technology
INGRES CORP,ingres
RENT RITE RESERVATION NTWK INC,rent rite reservation ntwk
TRVLSYS INC,trvlsys
RESPIRONICS INC,respironics
RICHFOOD HOLDINGS INC,richfood
ROADMASTER INDUSTRIES INC,roadmaster industries
ALLIED SECURITY INC,allied security
RYKA INC,ryka
MILLENIA CORP,millenia
SALVATORI OPHTHALMICS INC,salvatori ophthalmics
SECURITY FIRST CORP,security first
SHORELINE FINANCIAL CORP,shoreline financial
SILK GREENHOUSE INC,silk greenhouse
SILK SILK SILK INTL INC,silk silk silk intl
SPORTS ENTERTAINMENT GROUP INC,sports entertainment
STERLING MEDICAL SYSTEMS INC,sterling medical systems
STRUCTOFAB INC,structofab
SURETY CAPITAL CORP,surety capital
TELE OPTICS INC,tele optics
VELOCITY ASSET MANAGEMENT INC,velocity asset management
VELOCITY PORTFOLIO GROUP INC,velocity portfolio
THOMASTON MILLS INC,thomaston mills
FIRST NATIONAL STORES INC,first national stores
ALLIED VAN LINES INC,allied van lines
TIMBERJACK CORP,timberjack
TOP AIR MANUFACTURING INC,top air manufacturing
TRUVEL CORP,truvel
TWO COUNT HLDG CO,two count hldg
WASTE MANAGEMENT INC DEL,waste management del
UNICOMP INC,unicomp
VANGUARD CELLULAR SYS INC,vanguard cellular sys
VARITRONIC SYSTEMS INC,varitronic systems
VITALINK COMMUNICATIONS CORP,vitalink communications
WEAVER ARMS CORP,weaver arms
WINE SOCIETY AMERICA INC,wine society america
FILMSTAR INC,filmstar
EGGHEAD INC,egghead
EGGHEAD COM INC,egghead com
ALLOY METAL PRODS INC,alloy metal prods
SIERRA CAPITAL REALTY TR IV CO,sierra capital realty tr iv
MERIDIAN POINT REALTY TR IV CO,meridian point realty tr iv
AMERICAN POWER CONVERSION CORP,american power conversion
AMERICAN RICE INC,american rice
ALLY & GARGANO INC,ally gargano
ASSOCIATED NATURAL GAS CORP,associated natural gas
BABBAGES INC,babbages
BAILEY CORP,bailey
FREEPORT SULPHUR CO,freeport sulphur
FREEPORT MINERALS CO,freeport minerals
ALLYN & BACON INC,allyn bacon
BIOGEN INC,biogen
CASUAL MALE CORP,casual male
CHARTER FEDERAL SAVINGS BANK NJ,charter federal savings bank nj
CHARTER ONE BANCORP INC,charter one bancorp
CHARTER FSB BANCORP INC,charter fsb bancorp
CHEMICAL FINANCIAL CORP,chemical financial
LONGWEI PETROLEUM INVT HLDG LTD,longwei petroleum invt hldg
CLIFFS DRILLING CO,cliffs drilling
COCA COLA BOTTLING CO CONS,coca cola bottling cons
COCA COLA CONSOLIDATED INC,coca cola consolidated
COMCAST CORP,comcast
CONCORD CAMERA CORP,concord camera
MOLYCORP INC DE,molycorp de
CONSOLIDATE CAPITAL INCOME TRUST,consolidate capital income trust
NATIONAL INCOME REALTY TRUST,national income realty trust
NATIONAL INCOME REALTY TRUST NEW,national income realty trust new
GABRIEL CO,gabriel
ALOE CREME LABS INC,aloe creme labs
ALO SCHERER HEALTHCARE INC,alo scherer healthcare
SCHERER HEALTHCARE INC,scherer healthcare
CONVERSION INDUSTRIES INC,conversion industries
DATRON SYSTEMS INC,datron systems
DEKALB GENETICS CORP,dekalb genetics
WESTMORELAND RESOURCE PTNRS LP,westmoreland resource ptnrs lp
DYCOM INDUSTRIES INC,dycom industries
QUAD GRAPHICS INC,quad graphics
REALD INC,reald
EAGLE BANCORP INC DEL,eagle bancorp del
EASTLAND FINANCIAL CORP,eastland financial
RENHUANG PHARMACEUTICALS INC,renhuang pharmaceuticals
CHINA BOTANIC PHARMACEUTICAL INC,china botanic pharmaceutical
TORTOISE MIDSTREAM ENERGY FD INC,tortoise midstream energy fd
ENVIRONMENTAL CONTROL GROUP INC,environmental control
VRINGO INC,vringo
FORM HOLDINGS CORP,form
XPRESSPA GROUP INC,xpresspa
XWELL INC,xwell
ASIA ENTERTAINMENT & RESOUR LTD,asia entertainment resour
IAO KUN GROUP HOLDING CO LTD,iao kun
LINIU TECHNOLOGY GROUP,liniu technology
FRANKLIN FIRST FINANCIAL CORP,franklin first financial
GALACTIC RESOURCES LTD,galactic resources
AUTONAVI HOLDINGS LTD,autonavi
GENLYTE GROUP INC,genlyte
TIANLI AGRITECH INC,tianli agritech
AOXIN TIANLI GROUP INC,aoxin tianli
RENMIN TIANLI GROUP INC,renmin tianli
GISH BIOMEDICAL INC,gish biomedical
PEOPLES FEDERAL BANCSHARES INC,peoples federal bancshares
QLIK TECHNOLOGIES INC,qlik technologies
SMART TECHNOLOGIES INC,smart technologies
HOME PORT BANCORP INC,home port bancorp
ZOO ENTERTAINMENT INC,zoo entertainment
SPROTT PHYSICAL GOLD TRUST,sprott physical gold trust
GENERAL AMERN TRANSN CORP,general amern transn
ALPEX COMPUTER CORP,alpex computer
AMBOW EDUCATION HOLDING LTD,ambow education
BLACKROCK BUILD AMERICA BOND TR,blackrock build america tr
BLACKROCK TAXABLE MUNI BOND TR,blackrock taxable muni tr
KINDER CARE LRNING CTRS INC NEW,kinder care lrning ctrs new
KINDER CARE LEARNING CENTERS INC,kinder care learning centers
KIRSCHNER MEDICAL CORP,kirschner medical
CHINA KANGHUI HOLDINGS,china kanghui
GENERAL CIGAR INC,general cigar
CULBRO CORP,culbro
ALPHA SOLARCO INC,alpha solarco
LAIDLAW TRANSPORTATION LTD,laidlaw transportation
LAIDLAW INC,laidlaw
LANDMARK GRAPHICS CORP,landmark graphics
GOLD RESOURCE CORP,gold resource
LONG ISLAND CITY FINANCIAL CORP,long island city financial
INTRALINKS HOLDINGS INC,intralinks
GENERAL DYNAMICS CORP,general dynamics
ALPHANUMERIC INC,alphanumeric
MAYFLOWER FINANCIAL CORP,mayflower financial
NEW ENERGY SYSTEMS GROUP,new energy systems
RARE ELEMENT RESOURCES LTD,rare element resources
MULTIMEDIA INC,multimedia
MULTIMEDIA INC NEW,multimedia new
SCHWAB STRATEGIC TRUST,schwab strategic trust
GENERAL ELECTRIC CO,general electric
ALPHATYPE CORP,alphatype
NATIONAL HEALTH LABORATORIES INC,national health laboratories
NATIONAL HEALTH LABS HLDGS INC,national health labs hldgs
LABORATORY CORP AMERICA HLDGS,laboratory america hldgs
LABCORP HOLDINGS INC,labcorp
NEORX CORP,neorx
PONIARD PHARMACEUTICALS INC,poniard pharmaceuticals
UNITED STATES COMMODITY IND FUND,united states commodity ind
NOVELLUS SYSTEMS INC,novellus systems
OLD NATIONAL BANCORP,old national bancorp
OLYMPIC SAVINGS BANK WA,olympic savings bank wa
WHITESTONE REIT,whitestone reit
PACESETTER HOMES INC,pacesetter homes
PARKWAY CO,parkway
PARKWAY PROPERTIES INC,parkway properties
PEOPLES BANK BRIDGEPORT,peoples bank bridgeport
PEOPLES UNITED FINANCIAL INC,peoples united financial
PRIDE PETROLEUM SERVICES INC,pride petroleum services
PRIDE INTERNATIONAL INC,pride international
PRIDE INTERNATIONAL INC DEL,pride international del
WISDOMTREE TRUST,wisdomtree trust
SIGNET JEWELERS LTD,signet jewelers
ELECTROMED INC,electromed
GENERAL MOTORS CORP,general motors
GORDMANS STORES INC,gordmans stores
MEDIAMIND TECHNOLOGIES INC,mediamind technologies
MAKEMYTRIP LTD,makemytrip
SAHLEN & ASSOCIATES INC,sahlen associates
NUPATHE INC,nupathe
SMITHFIELD COMPANIES INC,smithfield companies
GENERAL REFRACTORIES CO,general refractories
PARK STERLING BANK,park sterling bank
PARK STERLING BANK NEW,park sterling bank new
REALPAGE INC,realpage
TRIUS THERAPEUTICS INC,trius therapeutics
STOTLER GROUP INC,stotler
STUDENT LOAN MARKETING ASSN,student loan marketing assn
CORESITE REALTY CORP,coresite realty
SYNOPTICS COMMUNICATIONS INC,synoptics communications
GENERAL RY SIGNAL CO,general ry signal
GENERAL SIGNAL CORP,general signal
ALPINE INTERNATIONAL CORP,alpine international
COUNTRY STYLE CKG RST CHN CO LTD,country style ckg rst chn
TUSCARORA PLASTICS INC,tuscarora plastics
TUSCARORA INC,tuscarora
TMK UNITED INC,tmk united
UNITED INVESTORS MANAGEMENT CO,united investors management
UNITRONIX CORP,unitronix
FIRST TRUST HIGH INC LNG SHRT FD,first trust high lng shrt fd
HELIX BIOPHARMA CORP,helix biopharma
WASHINGTON SAVINGS BANK FSB,washington savings bank fsb
WATERFORD WEDGWOOD PLC,waterford wedgwood
GENERAL OUTDOOR ADVERTISING INC,general outdoor advertising
ACORN VENTURE CAPITAL CORP,acorn venture capital
ACORN HOLDING CORP,acorn
ALCO INTERNATIONAL GROUP INC,alco international
INCOMED CORP,incomed
ALS FORMAL WEAR INC,als formal wear
AMERICAN DRUG SCREENS INC,american drug screens
AMERICAN FILM TECHNOLOGIES INC,american film technologies
AMERICAN STEEL & WIRE CORP,american steel wire
ALPHA MICROSYSTEMS,alpha microsystems
NQL INC,nql
APOGEE TECHNOLOGY INC,apogee technology
ARIX CORP,arix
ASSIX INTERNATIONAL INC,assix international
ATLANTIC EXPRESS INC,atlantic express
AURA SYSTEMS INC,aura systems
AURORA ENVIRONMENTAL INC,aurora environmental
GIMBEL BROTHERS INC,gimbel brothers
ALTA ENERGY CORP,alta energy
AUTOMOBILE PROTECTION CORP APCO,automobile protection apco
AUTOMOTIVE INDUSTRIES INC,automotive industries
BALLISTIC RECOVERY SYSTEMS INC,ballistic recovery systems
BIOANALOGICS INC,bioanalogics
BLISS & LAUGHLIN INDS INC NEW,bliss laughlin inds new
GLIDDEN CO,glidden
BROADCAST INTERNATIONAL INC,broadcast international
CACHE TECHNOLOGIES CORP,cache technologies
CALIFORNIA STATE BANK COVINA,california state bank covina
CANCER TREATMENT HOLDINGS INC,cancer treatment
CAROLINA SOUTHERN BK SPARTANBURG,carolina southern bk spartanburg
GOODRICH CORP,goodrich
ALTAIR CORP,altair
CELEREX CORP,celerex
CENTENNIAL BENEFICIAL CORP,centennial beneficial
WEST COAST BANCORP CA NEW,west coast bancorp ca new
CENTURION MINES CORP,centurion mines
GRAND CENTRAL SILVER MINES INC,grand central silver mines
CHAMPIONS SPORTS INC,champions sports
CHAMPIONS ONCOLOGY INC,champions oncology
CHANNEL AMERICA LPTV HLDGS INC,channel america lptv hldgs
CLARK MELVIN SECURITIES CORP,clark melvin securities
COLUMBIA LABORATORIES INC,columbia laboratories
JUNIPER PHARMACEUTICALS INC,juniper pharmaceuticals
COMMUNITY BANCORP INC,community bancorp
COMSOUTH BANKSHARES INC,comsouth bankshares
CONTINENTAL SAVINGS OF AMERICA,continental savings of america
CREATIVE MEDICAL SYSTEMS INC,creative medical systems
DANNINGER MEDICAL TECH INC,danninger medical tech
CROSS MEDICAL PROCUCTS INC,cross medical procucts
DEFAULT PROOF CR CARD SYS INC,default proof cr card sys
DIMENSIONAL VISIONS GROUP LTD,dimensional visions
DYNAMIC AMERICAN CORP,dynamic american
GRANBY MINING LTD,granby mining
CARIBBEAN FIN INC,caribbean fin
ELECTRONIC ASSEMBLY SERVICES INC,electronic assembly services
EQUITY GROWTH CORP,equity growth
FIRST EXECUTIVE BANCORP INC PA,first executive bancorp pa
EXECUFIRST BANCORP INC,execufirst bancorp
FIRST REPUBLIC BANCORP INC NEW,first republic bancorp new
REPUBLIC FIRST BANCORP INC,republic first bancorp
GRAND UNION CO,grand union
ALTERNACARE CORP,alternacare
FIRST FINANCIAL CARIBBEAN CORP,first financial caribbean
DORAL FINANCIAL CORP,doral financial
FUND ALABAMA INC,alabama
FUTURE MEDICAL PRODUCTS INC,future medical products
VASOMEDICAL INC,vasomedical
GENERAL COMMUNICATION INC,general communication
GENUS INC,genus
GREAT NORTHERN IRON ORE PPTYS,great northern iron ore pptys
ALTIUS CORP,altius
GEXA GOLD CORP,gexa gold
GEXA CORP,gexa
GLASSMASTER CO,glassmaster
GLOBESAT HOLDING CORP,globesat
GRANT STREET NATIONAL BANK,grant street national bank
GRAYHOUND ELECTRONICS INC,grayhound electronics
GREENWOOD BANK OF BETHEL INC,greenwood bank of bethel
GREAT NORTHERN RAILWAY CO,great northern railway
ALTON BOX BRD CO,alton box brd
ALTON PACKAGING CORP,alton packaging
GULF EXPLORATION CONSULTANTS INC,gulf exploration consultants
HQ OFFICE SUPPLIES WHSE INC,hq office supplies whse
HABEN INDUSTRIES INC,haben industries
EMBRACE SYSTEMS CORP,embrace systems
HEARX LTD,hearx
HEARUSA INC,hearusa
HINGHAM INSTITUTION FOR SVGS MA,hingham institution for svgs ma
HITOX CORP OF AMERICA,hitox of america
GREAT WESTN SUGAR CO,great westn sugar
ALTOS COMPUTER SYSTEMS,altos computer systems
HOMEOWNERS GROUP INC,homeowners
HOMESTEAD MINERALS CORP,homestead minerals
IN HOME HEALTH INC,in home health
INNOVET INC,innovet
INTEGRATED FINANCIAL GROUP INC,integrated financial
INTERNATIONAL BARRIER CORP,international barrier
KEY PRODUCTION INC,key production
KILE TECHNOLOGY CORP,kile technology
KITCHEN BAZAAR INC,kitchen bazaar
KUSHNER LOCKE CO,kushner locke
ALTRON INC,altron
LEGAL SOFTWARE SOLUTIONS INC,legal software solutions
LEP GROUP PLC,lep
LEROY PHARMACIES INC,leroy pharmacies
ACCUHEALTH INC,accuhealth
LIFEWAY FOODS INC,lifeway foods
LIFELINE HEALTHCARE GROUP LTD,lifeline healthcare
LINDSAY MANUFACTURING CO,lindsay manufacturing
LINDSAY CORP,lindsay
AMACAN RESOURCES CORP,amacan resources
LOGIC DEVICES INC,logic devices
MALLON RESOURCES CORP,mallon resources
MALLON RESOURCES CORP NEW,mallon resources new
MARINER CORP,mariner
BOCA RATON CAPITAL CORP,boca raton capital
MEASUREMENT SPECIALTIES INC,measurement specialties
MEDI MAIL INC,medi mail
MEDNET MPC CORP,mednet mpc
GULF MOBILE & OHIO RR CO,gulf mobile ohio rr
AMARCO RESOURCES CORP,amarco resources
BESTWAY RENT INC,bestway rent
BESTWAY INC,bestway
MEGA GROUP INC,mega
METCALF & EDDY COMPANIES INC,metcalf eddy companies
METRO BANCSHARES INC,metro bancshares
MICROAMERICA INC,microamerica
MIDWEST GRAIN PRODUCTS INC,midwest grain products
MISSOURI RIVER SERVICES INC,missouri river services
MONTANA NATURALS INTL INC,montana naturals intl
MOTHER LODE GOLD MINES CONS,mother lode gold mines cons
NY COM INC,ny com
NYCOM INFORMATION SVCS INC,nycom information svcs
AMNEX INC,amnex
NEOTERIK HEALTH TECHNOLOGIES INC,neoterik health technologies
NEW ENGLAND BANCORP INC,new england bancorp
NEW PARAHO CORP,new paraho
NORTH AMERICAN BANCORP INC DE,north american bancorp de
NOVAFERON LABS INC,novaferon labs
NOVEN PHARMACEUTICALS INC,noven pharmaceuticals
NU WEST INDUSTRIES INC,nu west industries
OFFICE CLUB INC,office club
AMAREX INC,amarex
OPTICORP INC,opticorp
PANELGRAPHIC CORP,panelgraphic
PARTECH HOLDINGS CORP,partech
TROPIC COMMUNICATIONS INC,tropic communications
PHARMETICS INC,pharmetics
POWEREC INTERNATIONAL INC,powerec international
PRIME BANCORP INC,prime bancorp
PROVIDENCE AND WORCESTER RR CO,providence and worcester rr
PROVIDENCE & WORCESTER RR CO,providence worcester rr
PROVIDENT LIFE & ACC INS CO AMER,provident life acc ins amer
RAMTRON AUSTRALIA LTD,ramtron australia
RAMTRON HOLDINGS LTD,ramtron
WOMENS GOLF UNLIMITED INC,womens golf unlimited
FRESH BRANDS INC,fresh brands
SCHWARTZ BROTHERS INC,schwartz brothers
AMBASSADOR GROUP INC,ambassador
SHARED TECHNOLOGIES INC,shared technologies
SHARED TECHS FAIRCHILD INC,shared techs fairchild
SHIRT SHED INC,shirt shed
SIERRA ON LINE INC,sierra on line
SOFTSEL COMPUTER PRODUCTS INC,softsel computer products
MERISEL INC,merisel
MERISEL INC NEW,merisel new
SOFTWARE TOOLWORKS INC,software toolworks
SUNSTYLE CORP,sunstyle
AMBER RESOURCES CO,amber resources
TAUNTON TECHNOLOGIES INC,taunton technologies
TECHNICLONE INTERNATIONAL CORP,techniclone international
TECHNICLONE CORP,techniclone
PEREGRINE PHARMACEUTICALS INC,peregrine pharmaceuticals
AVID BIOSERVICES INC,avid bioservices
TECHNOLOGY GENERAL CORP,technology general
TERMINAL APPLICATIONS GROUP INC,terminal applications
TOMKINS PLC,tomkins
TOPOLOGIX INC,topologix
HELME PRODUCTS INC,helme products
AMBRA OIL & GAS CO,ambra oil gas
UNITED BUYING SVC INTL INC,united buying svc intl
BANYAN STRATEGIC LAND FUND II,banyan strategic land ii
SEMELE GROUP INC,semele
VECTOR AEROMOTIVE CORP,vector aeromotive
VESPER CORP,vesper
VIDEO COMMUNICATION & RADIO INC,video communication radio
FIRST ENTERTAINMENT INC,first entertainment
VIDEO SUPERSTORES AMERICA INC,video superstores america
WAINWRIGHT BANK & TRUST CO BOSTN,wainwright bank trust bostn
WAMPLER-LONGACRE-ROCKINGHAM INC,wamplerlongacrerockingham
WASATCH EDUCATION SYSTEMS CORP,wasatch education systems
WEITEK CORP,weitek
WELLINGTON LEISURE PRODUCTS INC,wellington leisure products
WILSON DOUG STUDIOS INC,wilson doug studios
NUVEEN DIVERSIFIED COMMODITY FD,nuveen diversified commodity fd
SPDR INDEX SHARES FUNDS,spdr index funds
SOUFUN HOLDINGS LTD,soufun
FANG HOLDINGS LTD,fang
VANGUARD ADMIRAL FUNDS INC,vanguard admiral funds
HERTZ CORP,hertz
AMBULATORY MEDICAL CARE INC,ambulatory medical care
HILL CORP,hill
VANGUARD INDEX FUNDS,vanguard index funds
AMYRIS INC,amyris
CHARTER COMMUNICATIONS INC,charter communications
CHARTER COMMUNICATIONS INC NEW,charter communications new
FULL CIRCLE CAPITAL CORP,full circle capital
GREEN GIANT INC,green giant
KEYUAN PETROCHEMICALS INC,keyuan petrochemicals
SCIQUEST INC NEW,sciquest new
VANGUARD SCOTTSDALE FUNDS,vanguard scottsdale funds
HOMESTAKE MINING CO,homestake mining
DAYTON MALLEABLE INC,dayton malleable
AMCAST INDUSTRIAL CORP,amcast industrial
CAMPUS CREST COMMUNITIES INC,campus crest communities
CHINA MING YANG WIND PWR GRP LTD,china ming yang wind pwr grp
DAQO NEW ENERGY CORP,daqo new energy
ETFS PRECIOUS METALS BASKET TR,etfs precious metals basket tr
ABERDEEN STD PREC MET BSK ETF TR,aberdeen std prec met bsk tr
ABRDN PRECIOUS MTLS BSKT ETF TR,abrdn precious mtls bskt tr
AMCO ENERGY CORP,amco energy
AMCOLE ENERGY CORP,amcole energy
ELLINGTON FINANCIAL INC,ellington financial
EXAMWORKS GROUP INC,examworks
GUGGENHEIM BLD AM BDS MGD DUR TR,guggenheim bld am bds mgd dur tr
HUDBAY MINERALS INC,hudbay minerals
DATA DISC INC,data disc
AMCOMP INC,amcomp
SHANGPHARMA CORP,shangpharma
SPROTT PHYSICAL SILVER TRUST,sprott physical silver trust
TOWER INTERNATIONAL INC,tower international
WESTERN ASSET HIGH YLD DEF OP FD,western asset high yld def op fd
SEACUBE CONTAINER LEASING LTD,seacube container leasing
HOWE SOUND CO DEL,howe sound del
HOWMET CORP,howmet
AEGERION PHARMACEUTICALS INC,aegerion pharmaceuticals
BRAVO BRIO RESTAURANT GROUP INC,bravo brio restaurant
BODY CENTRAL CORP,body central
CAZADOR ACQUISITION CORP LTD,cazador acquisition
NET ELEMENT INTERNATIONAL INC,net element international
NET ELEMENT INC,net element
MULLEN AUTOMOTIVE INC,mullen automotive
CHINACACHE INTL HLDGS LTD,chinacache intl hldgs
LE GAGA HOLDINGS LTD,le gaga
GLOBAL EDUCATION & TECH GRP LTD,global education tech grp
HORIZON TECHNOLOGY FINANCE CORP,horizon technology finance
KEYW HOLDING CORP,keyw
MECOX LANE LTD,mecox lane
BOQI INTERNATIONAL MEDICAL INC,boqi international medical
BIMI INTERNATIONAL MEDICAL INC,bimi international medical
NETSPEND HOLDINGS INC,netspend
PACIFIC BIOSCIENCES CALIF INC,pacific biosciences calif
STANDARD FINANCIAL CORP MD,standard financial md
VERA BRADLEY INC,vera bradley
AEROFLEX HOLDING CORP,aeroflex
BITAUTO HOLDINGS LTD,bitauto
BOOZ ALLEN HAMILTON HOLDING CORP,booz allen hamilton
CHINA XINIYA FASHION LTD,china xiniya fashion
DUNXIN FINANCIAL HLDGS LTD,dunxin financial hldgs
COHEN & STEERS SLT PFD & INC FD,cohen steers slt pfd fd
HOWARD HUGHES CORP,howard hughes
INPHI CORP,inphi
KAYNE ANDERSON MDSTM ENGY FD INC,kayne anderson mdstm engy fd
KAYNE ANDERSON NEXT EN & INF INC,kayne anderson next en inf
NOAH HOLDINGS LTD,noah
NUVEEN BUILD AMERICA BOND OPP FD,nuveen build america opp fd
PARK CITY GROUP INC,park city
REPOSITRAK,repositrak
SEMGROUP CORP,semgroup
SUMITOMO MITSUI FINANCIAL GP INC,sumitomo mitsui financial gp
HUPP CORP,hupp
AMELCO CORP,amelco
SYSWIN INC,syswin
TRIANGLE PETROLEUM CORP,triangle petroleum
XUEDA EDUCATION GROUP,xueda education
COSTAMARE INC,costamare
ANACOR PHARMACEUTICALS INC,anacor pharmaceuticals
ILLINOIS CENT RR CO,illinois cent rr
ILLINOIS CENT INDUSTRIES INC,illinois cent industries
AMER ITAL GOURMET INC,amer ital gourmet
F&M IMPORTING INC,fm importing
MARCOR DEVELOPMENT INC,marcor development
MARCOR RESORTS INC,marcor resorts
RIO HOTEL & CASINO INC,rio hotel casino
SINOTECH ENERGY LTD,sinotech energy
GLOBUS MARITIME LTD,globus maritime
COMPLETE GENOMICS INC,complete genomics
IMRIS INC,imris
LIZHAN ENVIRONMENTAL CORP,lizhan environmental
PRIMO WATER CORP,primo water
SODASTREAM INTERNATIONAL LTD,sodastream international
AMERFORD INTERNATIONAL CORP,amerford international
SUN HEALTHCARE GROUP INC NEW,sun healthcare new
FRESH MARKET INC,fresh market
TEKMIRA PHARMACEUTICALS CORP,tekmira pharmaceuticals
ARBUTUS BIOPHARMA CORP,arbutus biopharma
VANGUARD INTL EQUITY INDEX FUNDS,vanguard intl equity index funds
ZOGENIX INC,zogenix
AMERIBANC INC,ameribanc
AMERICA WEST AIRLS INC,america west airls
INGERSOLL RAND CO,ingersoll rand
TRANE TECHNOLOGIES PLC,trane technologies
GREAT OUTDOOR AMERN ADVENTURE,great outdoor amern adventure
ABITIBIBOWATER INC,abitibibowater
RESOLUTE FOREST PRODUCTS INC,resolute forest products
AVALON RARE METALS INC,avalon rare metals
CTPARTNERS EXECUTIVE SEARCH INC,ctpartners executive search
GLOBAL BROKERAGE INC,global brokerage
FIRST MAJESTIC SILVER CORP,first majestic silver
FLEETCOR TECHNOLOGIES INC,fleetcor technologies
CORPAY INC,corpay
FORTEGRA FINANCIAL CORP,fortegra financial
GAIN CAPITAL HOLDINGS INC,gain capital
INFUSYSTEM HOLDINGS INC,infusystem
ISOFTSTONE HOLDINGS LTD,isoftstone
LENTUO INTERNATIONAL INC,lentuo international
MOTOROLA MOBILITY HOLDINGS INC,motorola mobility
INLAND STEEL CO,inland steel
INLAND STEEL INDUSTRIES INC,inland steel industries
RYERSON TULL INC NEW,ryerson tull new
RYERSON TULL INC,ryerson tull
RYERSON INC,ryerson
AMERICAN AGGREGATES CORP,american aggregates
PROSHARES TRUST,proshares trust
INSPIRATION CONSOLIDATED CPPR CO,inspiration consolidated cppr
AMERICAN AGRI FUELS CORP,american agri fuels
STONE HARBOR EMERG MKTS INC FD,stone harbor emerg mkts fd
VIRTUS STONE HARBOR EM MA IN FD,virtus stone harbor em ma in fd
SWIFT TRANSPORTATION CO,swift transportation
KNIGHT SWIFT TRANSPORT HDLGS INC,knight swift transport hdlgs
AMERICAN APPRAISAL ASSOC INC,american appraisal assoc
TARGA RESOURCES CORP,targa resources
WALKER & DUNLOP INC,walker dunlop
YOUKU COM INC,youku com
YOUKU INC,youku
YOUKU TUDOU INC,youku tudou
AUSTRALIA ACQUISITION CORP,australia acquisition
BONA FILM GROUP LTD,bona film
AMERICAN BANCORP,american bancorp
CHINA SHENGDA PACKAGING GRP INC,china shengda packaging grp
CLEANTECH INNOVATIONS INC,cleantech innovations
DYNASIL CORPORATION OF AMERICA,dynasil of america
HOME FEDERAL BANCORP INC LA,home federal bancorp la
SEMILEDS CORP,semileds
SKY MOBI LTD,sky mobi
INTERNATIONAL BUSINESS MACHS COR,international business machs cor
AMERICAN BANCORPORATION OH,american bancorporation oh
OSSEN INNOVATION CO LTD,ossen innovation
QAD INC,qad
RIGNET INC,rignet
UNI PIXEL INC,uni pixel
VENTRUS BIOSCIENCES INC,ventrus biosciences
ASSEMBLY BIOSCIENCES INC,assembly biosciences
ANCHOR BANCORP WA,anchor bancorp wa
DIANA CONTAINERSHIPS INC,diana containerships
PERFORMANCE SHIPPING INC,performance shipping
FAIRPOINT COMMUNICATIONS INC,fairpoint communications
OCONEE FEDERAL FINANCIAL CORP,oconee federal financial
