original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
PARAGON REAL EST EQU AND INV TR,paragon real est equ and inv tr,3.5714285714285716,1.5714285714285714,0,1,0,0.4,4,0.1428571428571428,0,p060,0.8442544283546329,25
PROG HOLDINGS INC,prog,4.0,1.0,0,1,0,0.25,1,0.0,1,p602,-0.553594720056001,4
ABBOTT LABORATORIES,abbott laboratories,9.0,3.0,1,0,0,0.4444444444444444,3,0.0,1,l010,28.91777559187353,18
Ackerley Group Inc,ackerley,8.0,3.0,1,0,0,0.5,2,0.0,1,a206,9.224833207605627,8
ACMAT CORP,acmat,5.0,2.0,1,0,0,0.4,2,1.0,1,a250,5.169511499336641,5
Acme Electric Corp,acme electric,6.0,2.5,1,0,0,0.4166666666666667,3,0.0,1,e402,8.757022281738127,12
NUVEEN MUNICIPAL VALUE FUND,nuveen municipal value,6.666666666666667,2.6666666666666665,0,1,0,0.5,3,0.3333333333333333,0,m050,26.80149947675661,20
BK Technologies Corp,bk technologies,7.0,2.5,1,0,0,0.3571428571428571,2,0.0,1,t020,23.897159397776974,14
AMREP Corp.,amrep,5.0,2.0,1,0,0,0.4,1,1.0,1,a560,8.955573811150815,5
Adams Diversified Equity Fund Inc,adams diversified equity,7.333333333333333,3.0,1,0,0,0.5,4,0.0,0,d010,17.453549952629498,22
ADAMS EXPRESS CO,adams express,6.0,2.0,1,0,0,0.3333333333333333,3,0.0,1,e216,6.84676334395007,12
Adams Resources & Energy Inc.,adams resources energy,6.666666666666667,2.6666666666666665,1,0,0,0.45,4,0.0,0,r020,25.801173190060116,20
ADCOR ELECTRONICS INC,adcor electronics,8.0,3.0,1,0,0,0.375,3,0.5,1,e402,18.664179802539326,16
ADVERTISING UNLIMITED LTD,advertising unlimited,10.0,4.0,1,0,0,0.4,4,0.0,1,a310,21.071498752599556,20
AEQUITRON MEDICAL INC,aequitron medical,8.0,3.0,1,0,0,0.5,2,0.5,1,a020,15.020669212719826,16
AERO SYSTEMS INC,aero systems,5.5,2.0,1,0,0,0.4545454545454545,3,0.0,1,s023,15.51427108832226,11
NUVEEN NEW YORK MUN VALUE FUND,nuveen new york mun value,4.2,1.4,0,1,0,0.4761904761904761,4,0.2,0,n010,18.65070997176535,21
AEROJET GENERAL CORP,aerojet general,7.0,3.0,1,0,0,0.5,4,0.0,1,a060,16.378829566316202,14
ADVANCED MICRO DEVICES INC,advanced micro devices,6.666666666666667,2.3333333333333335,1,0,0,0.4,3,0.0,0,a310,19.655395317723706,20
ADVENTURE LANDS OF AMERICA INC,adventure lands of america,5.75,2.25,1,0,0,0.4347826086956521,4,0.0,0,a310,14.944019957667146,23
Aetna Inc.,aetna,5.0,2.0,1,0,0,0.6,2,0.0,1,a035,9.723272489860875,5
AETNA INC NEW,aetna new,4.0,1.5,1,0,0,0.5,2,0.0,1,a035,9.652103484482849,8
AEICOR INC,aeicor,6.0,2.0,1,0,0,0.6666666666666666,1,1.0,1,a020,9.60448843284731,6
Affiliated Capital Corp,affiliated capital,8.5,4.0,1,0,0,0.4705882352941176,4,0.0,1,a104,14.06823115202146,17
Agnico Eagle Mines Ltd,agnico eagle mines,5.333333333333333,2.0,1,0,0,0.5,3,0.3333333333333333,0,a250,12.403595075384867,16
Alanco Technologies Inc,alanco technologies,9.0,3.5,1,0,0,0.4444444444444444,3,0.5,1,t020,28.0836795593929,18
NUVEEN PREMIUM INC MUNI FD INC,nuveen premium muni fd,4.75,2.0,0,1,0,0.4210526315789473,3,0.25,0,p605,26.98743236313217,19
AID AUTO STORES INC,aid auto stores,4.333333333333333,1.3333333333333333,1,0,0,0.5384615384615384,2,0.0,0,s306,2.114301073575297,13
ALANCO LTD,alanco,6.0,3.0,1,0,0,0.5,2,1.0,1,a405,6.32658632511219,6
Air Products and Chemicals Inc.,air products and chemicals,5.75,1.75,1,0,0,0.3478260869565217,3,0.0,0,c050,17.149818723489886,23
AIR PRODUCTS & CHEMICALS INC,air products chemicals,6.666666666666667,2.0,1,0,0,0.35,3,0.0,0,c050,20.665213220686887,20
ALANCO RESOURCES CORP,alanco resources,7.5,3.0,1,0,0,0.4666666666666667,2,0.5,1,r020,21.176523095335405,15
AIR TRANSPORTATION HLDG CO INC,air transportation hldg,7.0,2.0,1,0,0,0.3333333333333333,3,0.3333333333333333,0,t605,33.76975145394188,21
AIR WISCONSIN INC,air wisconsin,6.0,2.0,1,0,0,0.4166666666666667,3,0.0,1,w020,10.188097598582123,12
AIR WISCONSIN SERVICES INC,air wisconsin services,6.666666666666667,2.3333333333333335,1,0,0,0.4,4,0.0,0,w020,21.074220604163543,20
AIRBORNE FREIGHT CORP,airborne freight,7.5,1.5,1,0,0,0.4,3,0.0,1,a061,16.106859699975377,15
AIRBORNE INC,airborne,8.0,2.0,1,0,0,0.5,2,0.0,1,a061,11.919131361812171,8
ALANCO ENVIRONMENTAL RES CORP,alanco environmental res,7.333333333333333,3.0,1,0,0,0.4090909090909091,4,0.3333333333333333,0,e510,23.733140965847248,22
OPPENHEIMER MULTI SECTOR INC TR,oppenheimer multi sector tr,6.0,2.25,0,1,0,0.375,4,0.0,0,o105,24.208895637294745,24
