,word,Englishness,length
173,moscow cablecom,12.103263586745506,14
174,crown andersen,6.990671960226135,13
175,andover controls,13.885766810305517,15
176,andersen,6.5827344007906365,8
177,andrew,5.693493052591133,6
178,andros analyzers,19.198477521931057,15
179,andros,3.5280385212995466,6
180,angiomedics,17.145143921159374,11
181,andersons,10.966927760349188,9
182,nabors industries,22.945208346362524,16
183,putnam high income fd,23.058674146881167,18
184,putnam high income securities fd,39.20246365970638,28
185,biw,4.454852729673416,3
186,birmingham utilities,32.66008265716667,19
187,natmar,6.400789947547965,6
188,antex,4.077138762113435,5
189,apache,6.29250680617487,6
190,apco oil and gas international,13.827778763923147,26
191,high income securities,19.713764130608908,20
192,apco argentina cayman isl,25.754799978768048,22
193,apco oil gas international,17.343173261120146,23
194,apogee enterprises,24.00314789113714,17
195,apple computer,5.524214007007372,13
196,apple,-0.43008406931485443,5
197,applied communication,17.93098906526319,20
198,applied materials,14.846335734964379,16
199,putnam master inter income tr,10.982977833260781,25
200,enerpac tool,12.759545536621212,11
201,aquarius resources,22.153286022093596,17
202,aquitaine comapny canada,25.43198485606742,22
203,treco de,-2.8782476592437964,7
204,trecora resources,21.5259296224036,16
205,advanced oxygen technology,24.58255288713577,24
206,archerdanielsmidland,46.7850043865812,20
207,archer daniels midland,22.931963229897548,20
208,arden,1.7963347650077504,5
209,ashland,8.602464081079264,7
210,arizona bancwest,23.267333162877815,15
211,quest for value dual purpose,3.819732791617568,24
212,arcbest,12.550387398508388,7
213,aydin,8.971181463864596,5
214,royce value trust,10.038154088285113,15
215,arnold industries,21.5927090944867,16
216,arrow electronics,16.86913716117606,16
217,artel communications,20.35107538229077,19
218,arts way manufacturing,15.284349815708069,20
219,royce small cap trust,8.073430656560594,18
220,ashland oil refng,15.538932975623885,15
221,ashland oil,9.932267159985958,10
222,associated communications,30.047136900225098,24
223,ashland new,8.531295075701234,10
224,ashland global,12.051432037694825,13
225,ashton tate,5.8646588784341205,10
226,askin service,7.915183949119504,12
227,aspen ribbon,9.302689665762156,11
228,aspen imaging international,17.965084934442615,25
229,associated hosts,17.06222368863338,15
230,atlan tol inds,4.560005720896218,12
231,astro medical new,5.132150090335811,15
232,astronova,12.857286582021672,9
233,astronics,8.081503006472442,9
234,associates first capital,24.113390267187427,22
235,astro medical,5.20331909571384,12
236,new american shoe,8.54469158354725,15
237,spain,1.772186963682243,5
238,ibero america fd,22.362511849654325,14
239,authenticolor,16.78277275553433,13
240,atwood oceanics,15.326944032239076,14
241,rexnord,13.4399948943286,7
242,virexx medical,15.435362633715409,13
243,rex american resources,20.879198756651505,20
244,asahi america,14.805701667416255,12
245,autodesk,13.4740265606918,8
246,digital communications assoc,29.50043122728144,26
247,dialysis america,14.025021938275136,15
248,automatic data processing,13.924344636518228,23
249,allied products de,8.015482070350993,16
250,abacus direct,9.042397478727775,12
251,auxton computer enterprises,29.116137833247034,25
252,avantek,10.41633623590484,7
253,tcw strategic income,16.208147642438146,18
254,trinitech systems,22.423752201066534,16
255,avery,0.3183344697808628,5
256,avery products,12.017275838581064,13
257,avery international,11.56678673684535,18
258,avery dennison,7.612254148817717,13
259,aviation,4.82256252754573,8
260,avnet,8.322645459657208,5
261,avon products,13.062341841617547,12
262,azz,0.3400142063589078,3
263,brt apartments,18.16785173196327,13
264,aztec resources,25.560495035873117,14
265,saba software,13.425249055131008,12
266,british american tobacco,20.969552086302976,22
267,billy the kid,-6.524024215554784,11
268,knowledge data systems,25.538626940609586,20
269,knowledge data system,21.16542822005927,19
270,midatlantic realty trust,19.306935178831857,22
271,mid atlantic realty trust,10.382998615221789,22
272,burma mines,2.392572634297923,10
273,badger meter,2.7631261820977633,11
274,saba capital income opp fd ii,21.654749007562543,24
275,thai,2.1686883390700626,4
276,badger paper mills,9.164319028538465,16
277,baird,2.211163804203718,5
278,protective insurance,16.052631947722848,19
279,beehive international,22.30340939075287,20
280,baker hughes,7.311933205326165,11
281,balchem,8.45978513959274,7
282,baldor electric,11.827874877278571,14
283,ball,-1.3280893056499563,4
284,bally manufacturing,15.32599480573547,18
285,bally entertainment,15.49886372406938,18
286,banponce new,12.378245437692375,11
287,popular,5.731150734366318,7
288,bank of hawaii,6.06790071148946,12
289,bancohio,13.345385752513774,8
290,proshares trust,11.395428441088981,14
291,pacific century financial,19.852505135536262,23
292,first banks america,13.318683255412074,17
293,united kingdom,7.356772801594531,13
294,bancal tri st,-7.006978657763192,11
295,regional financial shs in fd,21.108408727765365,24
296,bank commonwealth detroit mich,30.355754424683838,27
297,national enterprise bank,14.4679636765504,22
298,bank of new york mellon,1.622309803407977,19
299,bank new york,2.664984504228367,11
300,bank south,3.3750252742398246,9
301,bankamerica rlty invs,40.87659123037932,19
302,liberty bancorp ok,13.831571478151224,16
303,bard,-2.3787953273982785,4
304,barden,3.320998438405006,6
