,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
47,AID AUTO STORES INC,aid auto stores,4.333333333333333,1.3333333333333333,1,0,0,0.5384615384615384,2,0.0,0,s306
48,ALANCO LTD,alanco,6.0,3.0,1,0,0,0.5,2,1.0,1,a405
49,Air Products and Chemicals Inc.,air products and chemicals,5.75,1.75,1,0,0,0.34782608695652173,3,0.0,0,c050
50,AIR PRODUCTS & CHEMICALS INC,air products chemicals,6.666666666666667,2.0,1,0,0,0.35,3,0.0,0,c050
51,ALANCO RESOURCES CORP,alanco resources,7.5,3.0,1,0,0,0.4666666666666667,2,0.5,1,r020
52,AIR TRANSPORTATION HLDG CO INC,air transportation hldg,7.0,2.0,1,0,0,0.3333333333333333,3,0.3333333333333333,0,t605
53,AIR WISCONSIN INC,air wisconsin,6.0,2.0,1,0,0,0.4166666666666667,3,0.0,1,w020
54,AIR WISCONSIN SERVICES INC,air wisconsin services,6.666666666666667,2.3333333333333335,1,0,0,0.4,4,0.0,0,w020
55,AIRBORNE FREIGHT CORP,airborne freight,7.5,1.5,1,0,0,0.4,3,0.0,1,a061
56,AIRBORNE INC,airborne,8.0,2.0,1,0,0,0.5,2,0.0,1,a061
57,ALANCO ENVIRONMENTAL RES CORP,alanco environmental res,7.333333333333333,3.0,1,0,0,0.4090909090909091,4,0.3333333333333333,0,e510
58,OPPENHEIMER MULTI SECTOR INC TR,oppenheimer multi sector tr,6.0,2.25,0,1,0,0.375,4,0.0,0,o105
59,Alaska Air Group Inc,alaska air,4.5,2.0,1,0,0,0.5555555555555556,4,0.0,1,a402
60,ALASKA AIRLS INC,alaska airls,5.5,2.0,1,0,0,0.45454545454545453,4,0.5,1,a402
61,ALASKA AIRGROUP INC,alaska airgroup,7.0,2.5,1,0,0,0.5,4,0.5,1,a062
62,Atrion Corp,atrion,6.0,2.0,1,0,0,0.5,1,1.0,1,a360
63,Western Asset Investment Grade Income Fund Inc,western asset investment grade income,6.6,2.0,0,0,1,0.36363636363636365,7,0.0,0,i510
64,IKON Office Solutions Inc.,ikon office solutions,6.333333333333333,2.3333333333333335,0,1,0,0.47368421052631576,4,0.0,0,s040
65,INTERCHEMICAL CORP,interchemical,13.0,5.0,0,1,0,0.38461538461538464,2,1.0,1,i530
66,INMONT CORP,inmont,6.0,2.0,0,1,0,0.3333333333333333,2,1.0,1,i505
67,PACIFIC AMERICAN INCOME SHS INC,pacific american income shs,6.0,2.5,0,1,0,0.4166666666666667,4,0.25,0,a506
68,WESTERN ASSET INCOME FUND,western asset income,6.0,2.0,0,0,1,0.3888888888888889,4,0.0,0,w023
