,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
51,UNIVERSAL FRANCHISE OPPTYS CORP,universal franchise opptys,8.0,2.6666666666666665,0,1,0,0.375,3,0.3333333333333333,0,u501
52,TEXSTYRENE CORP,texstyrene,10.0,3.0,0,1,0,0.4,3,1.0,1,t023
53,ARIS CORP,aris,4.0,2.0,1,0,0,0.5,1,0.0,1,a602
54,LAMONTS CORP,lamonts,7.0,2.0,0,1,0,0.2857142857142857,1,1.0,1,l050
55,LAMONTS APPAREL INC,lamonts apparel,7.0,2.5,0,1,0,0.35714285714285715,3,0.5,1,l050
56,CENTURY COMMUNICATIONS CORP,century communications,10.5,4.0,1,0,0,0.42857142857142855,3,0.0,1,c050
57,AMERICAN BLDGS CO,american bldgs,6.5,2.5,1,0,0,0.3076923076923077,2,0.5,1,a506
58,SEQUEL CORP,sequel,6.0,2.0,0,1,0,0.5,2,0.0,1,s020
59,HANGER ORTHOPEDIC GROUP INC,hanger orthopedic,8.0,3.0,0,1,0,0.375,2,0.0,1,o630
60,HANGER INC,hanger,6.0,2.0,0,1,0,0.3333333333333333,1,0.0,1,h052
61,VIDEO LIBRARY INC,video library,6.0,3.0,0,0,1,0.5,2,0.0,1,l016
62,CARDINAL INDUSTRIES INC,cardinal industries,9.0,3.0,1,0,0,0.3888888888888889,3,0.0,1,i530
63,BIO NUTRIONICS INC,bio nutrionics,6.5,2.5,1,0,0,0.46153846153846156,3,0.5,1,n036
64,GREAT AMERICAN RECREATION INC,great american recreation,7.666666666666667,3.0,0,1,0,0.4782608695652174,4,0.0,0,r026
65,NEW MILFORD SAVINGS BANK,new milford savings bank,5.25,1.5,0,1,0,0.2857142857142857,3,0.0,0,m041
66,NEWMIL BANCORP INC,newmil bancorp,6.5,2.0,0,1,0,0.3076923076923077,2,1.0,1,b052
67,NATIONAL ACME CO,national acme,6.0,2.5,0,1,0,0.5,3,0.0,1,n030
68,ACME CLEVELAND CORP,acme cleveland,6.5,2.0,1,0,0,0.38461538461538464,3,0.0,1,c401
69,ACME CLEVELAND CORP NEW,acme cleveland new,5.333333333333333,1.6666666666666667,1,0,0,0.375,4,0.0,0,c401
70,ORANGE FREE STATE INVESTMENT LTD,orange free state investment,6.25,1.75,0,1,0,0.4,6,0.0,0,i510
71,FREE STATE CONSOL GOLD CO LTD,free state consol gold,4.75,1.25,0,1,0,0.3684210526315789,3,0.0,0,c052
72,UNITED SAVINGS BANK VIENNA VA,united savings bank vienna va,5.0,2.0,0,1,0,0.4,5,0.0,0,s010
73,NORTHEAST OHIO AXLE INC,northeast ohio axle,5.666666666666667,2.3333333333333335,0,1,0,0.47058823529411764,3,0.0,0,n063
74,ENVIROSOURCE INC,envirosource,12.0,4.0,1,0,0,0.5,2,1.0,1,e510
75,AMERICAN HEALTH SVCS CORP,american health svcs,6.0,2.0,1,0,0,0.3333333333333333,3,0.3333333333333333,0,a506
76,TYCO TOYS INC,tyco toys,4.0,1.5,0,1,0,0.5,2,0.5,1,t020
77,ADAMS EXPRESS CO,adams express,6.0,2.0,1,0,0,0.3333333333333333,3,0.0,1,e216
78,ABM COMPUTER SYS,abm computer sys,4.666666666666667,1.6666666666666667,1,0,0,0.35714285714285715,2,0.3333333333333333,0,c051
79,FRANKLIN TELECOMMUNICATIONS CORP,franklin telecommunications,13.0,4.5,0,1,0,0.38461538461538464,4,0.0,1,t040
80,FRANKLIN WIRELESS CORP,franklin wireless,8.0,2.0,0,1,0,0.3125,2,0.0,1,f605
81,HYGEIA SCIENCES INC,hygeia sciences,7.0,3.0,0,1,0,0.5,3,0.0,1,s205
82,AMERICAN PROPERTY GROUPS INC,american property groups,7.333333333333333,2.6666666666666665,1,0,0,0.4090909090909091,4,0.0,0,a506
83,ACA JOE INTERCON LTD,aca joe intercon,4.666666666666667,2.0,1,0,0,0.5,2,0.6666666666666666,0,i530
84,DIGITEXT INC,digitext,8.0,3.0,1,0,0,0.375,2,1.0,1,d020
85,ALEX BROWN INC,alex brown,4.5,1.5,1,0,0,0.3333333333333333,1,0.0,1,b605
86,DEWS LABORATORIES INC,dews laboratories,8.0,2.5,1,0,0,0.4375,2,0.0,1,l010
